InterZone,Name,TotPop2011,ResPop2011,HHCnt2011,Easting,Northing
S02001236,Culter,"4845","4733","2143","383855","801018"
S02001237,"Cults, Bieldside and Milltimber West","4007","3751","1428","386152","801879"
S02001238,"Cults, Bieldside and Milltimber East","6112","5850","2291","388518","802839"
S02001239,Garthdee,"5229","5152","2439","391978","803525"
S02001240,"Braeside, Mannofield, Broomhill and Seafield East","4419","4358","2193","392903","804730"
S02001241,"Braeside, Mannofield, Broomhill and Seafield South","3831","3797","1754","391809","804054"
S02001242,"Braeside, Mannofield, Broomhill and Seafield North","4564","4508","2214","391060","804916"
S02001243,Hazlehead,"4946","4908","2318","389774","805832"
S02001244,Summerhill,"3911","3820","1848","390387","806491"
S02001245,Midstocket,"4572","4507","2081","392013","806660"
S02001246,Rosemount,"5843","5685","3389","393237","806520"
S02001247,West End North,"3518","3488","1518","392067","805884"
S02001248,West End South,"6102","5989","3251","392592","805284"
S02001249,City Centre West,"4025","3949","2339","393342","806079"
S02001250,City Centre East,"2509","2436","1402","394237","806106"
S02001251,Ferryhill North,"4901","4773","2763","393773","805236"
S02001252,Ferryhill South,"4745","4673","2507","393320","804790"
S02001253,"Kincorth, Leggart and Nigg North","4094","4047","1860","393531","803375"
S02001254,"Kincorth, Leggart and Nigg South","4024","4024","1784","393717","802995"
S02001255,Cove South,"4069","4069","1674","394919","800761"
S02001256,Cove North,"3683","3623","1648","394999","801594"
S02001257,Torry West,"5686","5438","2863","394976","804877"
S02001258,Torry East,"4606","4577","2170","395612","804863"
S02001259,Hanover South,"3255","3208","1885","394730","806618"
S02001260,Hanover North,"4108","3523","2066","394525","807154"
S02001261,George Street,"7144","5963","3479","393861","806962"
S02001262,Ashgrove,"3705","3582","1944","392914","807576"
S02001263,"Froghall, Powis and Sunnybank","5432","5049","2443","393618","807808"
S02001264,Seaton,"4674","3597","2150","394579","808229"
S02001265,Old Aberdeen,"5021","2864","1510","394378","808726"
S02001266,Tillydrone,"4835","4835","2327","392969","809219"
S02001267,Woodside,"3989","3883","2046","392608","808774"
S02001268,Hilton,"5944","5923","2959","392402","808430"
S02001269,Stockethill,"5344","5344","2700","391675","807665"
S02001270,Mastrick,"4812","4812","2202","390289","807044"
S02001271,Sheddocksley,"4917","4909","2336","389614","807065"
S02001272,Cummings Park,"3532","3512","1457","391222","808013"
S02001273,Northfield,"5507","5479","2181","389962","808282"
S02001274,Heathryfold and Middlefield,"5272","5213","2116","390943","808846"
S02001275,Kingswells,"5304","5109","1919","386821","807707"
S02001276,Bucksburn South,"3299","3297","1672","389120","809412"
S02001277,Bucksburn North,"4540","4489","2108","388997","809924"
S02001278,Dyce,"5402","5307","2390","389006","813160"
S02001279,Danestone,"4055","3874","1767","391946","809987"
S02001280,Oldmachar West,"4343","4343","1891","392329","811523"
S02001281,Oldmachar East,"4902","4840","1878","393212","810993"
S02001282,Balgownie and Donmouth West,"3588","3588","1686","393463","810082"
